Exhibitor,Country,Stand Number,Website,Logo,Products
KONSTANTINOS KARABETSOS,Greece,3.325,,,Services Providers
KOP-FLEX COUPLINGS- REGAL BELOIT,USA,3.215,,,Propulsion Systems
KOREA MARINE EQUIPMENT RESEARCH INSTITUTE (KOMERI_ULSAN PAVILLION),"Korea, Republic of",3.161,http://www.komeri.re.kr,,"Advertising, Marketing, Public Relations, Deck Equipment, Offshore Services, Other, Pipes, Fittings, Pumps, Valves, Shipbuilding, Repair Yards, Shipping Companies, Steering Gear, Equipment"
KOREAN REGISTER,"Korea, Republic of",3.401,http://www.krs.co.kr/eng,,"Ballast Water Management, Classification Societies, Computer Applications, Big Data, IT Services, Environmental Technologies, Maritime Education, Offshore Services"
KOREA OFFSHORE & SHIPBUILDING ASSOCIATION,"Korea, Republic of","3.301,3.301/G",http://www.koshipa.or.kr,,"Associations, Organisations"
KOREA TRADE-INVESTMENT PROMOTION AGENCY(KOTRA) & KOREA MARINE EQUIPMENT ASSOCIATION(KOMEA),"Korea, Republic of","3.403,3.403/10",http://www.komea.kr,,"Associations, Organisations"
KORKIDIS BROS CO OE GROUP,Greece,1.419,http://www.korkidisbros.com,,"Automation, Cables, Electrical, Electronics, Ship Spare Parts, Ship Suppliers"
"KORVAL CO., LTD.","Korea, Republic of",3.132,,,Other
KOTUG SMIT TOWAGE,"Netherlands, The",3.426,,,"Towage, Salvage"
KOUAN SHIPBUILDING INDUSTRY,China,4.213,,,"Shipbuilding, Repair Yards"
KPMG CERTIFIED AUDITORS AE,Greece,3.513,http://www.kpmg.com/gr,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=40651,Consultancy Services
KRAFTPOWERCON SWEDEN AB,Sweden,3.443,http://www.kraftpowercon.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=62895,"Ballast Water Management, Electrical, Electronics, Retrofitting, Sewage Treatment"
KR ATHENS OFFICE,Greece,3.401,,,Classification Societies
KR EUROPE HEADQUARTERS,Greece,3.401,,,Classification Societies
KR HELLAS LTD,Greece,3.401,,,Classification Societies
KROHNE ALTOMETER,"Netherlands, The",2.560,,,Automation
KROHNE INOR,Sweden,2.560,,,Automation
KROHNE LTD,United Kingdom,2.560,,,Automation
KROHNE MARINE AS,Norway,3.105,http://www.krohne.com,,Monitoring Equipment
KROHNE MESSTECHNIK GMBH,Germany,2.560,,,Automation
KRONE FILTER,Germany,2.226,,,Filtration
KSB AMRI S.A.,France,3.105,http://www.ksb.com,,"Pumps, Valves"
KSB SEIL CO. LTD,"Korea, Republic of",3.105,http://www.ksbkorea.com,,"Engineroom Equipment, Monitoring Equipment"
"KTE CO., LTD.","Korea, Republic of","4.109,4.108",,,"Electrical, Electronics, Engineroom Equipment"
"KTMI CO, LTD","Korea, Republic of",3.403/3,http://www.koreatmi.com,,"Anchors, Chains, Mooring Equipment & Ropes, Security, Ship & Ports, Towage, Salvage"
KTR,Germany,3.355,,,"Propulsion Systems, Steering Gear, Equipment"
"KUANCHENG SHENGHUA PRESSURE VESSEL MANUFACTURING CO., LTD",China,3.343/4,http://www.shyqpc.com,,Vessel Registration
KUEHNE + NAGEL SA,Greece,3.357,http://www.kuehne-nagel.gr,,Logistics
KUZEY STAR SHIPYARD,Turkey,"2.151,1.317,4.213,4.134",http://www.kuzeystar.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=61468,"Repair Services, Shipbuilding, Repair Yards"
KVH INDUSTRIES,Denmark,1.211,http://www.kvh.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=55885,"Computer Applications, Big Data, IT Services, Entertainment Systems, Maritime Education, Satellite Communications, Training Services"
KWONG SOON ENGINEERING CO (PTE),Singapore,4.134,,,"In/Under-Water Repairs & Services, Shipbuilding, Repair Yards"
KYMA AS,Norway,"4.109,4.108",,,"Electrical, Electronics, Internet Services, Management Systems, Monitoring Equipment"
KYVERNITIS TRAVEL,Greece,2.535,http://www.kyvernitis.gr,,Travel Services
LAGAAY INTERNATIONAL,"Netherlands, The",1.346,http://www.lagaay.com,,Medical Services
LAGERSMIT,"Netherlands, The",4.125,,,Seals & Packings
LALIZAS SA,Greece,3.162,http://www.lalizas.com,,"Safety Equipment, Services"
LAMPITALIA LAMPS,Italy,1.419,,,"Electrical, Electronics"
LANGH TECH OY AB,Finland,2.557,http://www.langhtech.com,,Exhaust Gas Cleaning Solutions
LAROS - PRISMA ELECTRONICS,Greece,3.325,http://www.laros.gr,,"Computer Applications, Big Data, IT Services, Cyber Protection Systems, Electrical, Electronics, Energy Efficiency, Environmental Technologies, Fuel Analysis Services, Management Systems"
LAVRION PORT AUTHORITY SA,Greece,4.315,,,"Ports, Port Authorities"
LAZARIS LTD,Greece,3.325,,,Other
LEADER MARINE (CHINA) CO LTD,China,2.158,http://www.leadermarine.com  www.leadermarine.com.sg,,"Airconditioning, Ventilation, Anchors, Chains, Ballast Water Management, Bearings, Boilers, Bunkers, Lubricants, Cables, Cargo Handling, Chemicals, Coatings, Paints, Compressor Suppliers, Corrosion Protection, Deck Equipment, Firefighting Equipment, Hydraulics, In/Under-Water Repairs & Services, Marine Fenders & Hoses, Mooring Equipment & Ropes, Pipes, Fittings, Propellers, Propulsion Systems, Pumps, Valves, Refrigeration Systems, Repair Services, Safety Equipment, Services, Seals & Packings, Services Providers, Shipbuilding, Repair Yards, Shipchandlers, Ship Spare Parts, Ship Suppliers"
LEAN MARINE SWEDEN AB,Sweden,2.257,http://www.leanmarine.com,,"Automation, Energy Efficiency"
LEDVANCE,Germany,1.419,,,"Electrical, Electronics"
LEGERO INTERNATIONAL GROUP BV,"Netherlands, The",3.553,http://www.legerogroup.com,,"Logistics, Shipchandlers, Ship Suppliers"
LEISTRITZ PUMPEN GMBH,Germany,3.315,http://pumps.leistritz.com,,"Cargo Handling, Cargo Systems, Engineroom Equipment, Hydraulics, Pumps, Valves"
LELIS DIESEL MARINE,Greece,2.453,http://www.lelisdieselmarine.com,,Engineroom Equipment
LESER GMBH & CO.KG,Germany,2.316,,,"Pumps, Valves"
LEVER,Greece,1.144,http://www.leverteam.gr,,"Propellers, Propulsion Systems, Pumps, Valves, Repair Services, Services Providers"
LFA GLOBAL PTE LTD,Singapore,2.401/K,http://www.LFAglobal,,"Automation, Ballast Water Management, Cargo Handling, Cargo Systems, Chemicals, Clean Energy Solutions & Equipment, Cryogenic Equipment, Engineroom Equipment, Exhaust Gas Cleaning Solutions, Gases, Refrigerants, Hydraulics, Inert Gas Systems, LNG Technology, Marine Fenders & Hoses, Offshore Systems & Applications, Pumps, Valves, Repair Services, Retrofitting, Sanitation Equipment, Seals & Packings, Sewage Treatment, Shipbuilding, Repair Yards, Ship Spare Parts, Ship Suppliers, Tank Cleaning Systems"
LG LS,Greece,1.419,,,"Electrical, Electronics"
LGMAR SOFTWARE,Greece,3.154,http://www.lgmar.gr,,"Computer Applications, Big Data, IT Services"
"LHE CO., LTD","Korea, Republic of","4.109,4.108",,,"Energy Efficiency, Engineroom Equipment, Water Saving & Treatment Systems"
LIBEROASSURANCE,Greece,3.455,,,"Classification Societies, Consultancy Services, Government Organisations / Institutions, Management Systems, Maritime Education, Maritime Training Programmes"
LIBEROGROUP (LG),Greece,3.455,http://www.liberoassurance.org,,"Classification Societies, Consultancy Services, Government Organisations / Institutions, Management Systems, Maritime Education, Maritime Training Programmes, Vessel Registration"
LIBERO HELLENIC REGISTER,Greece,3.455,,,"Classification Societies, Consultancy Services, Government Organisations / Institutions, Vessel Registration"
LIBEROSERVICES,Greece,3.455,,,"Classification Societies, Consultancy Services, Government Organisations / Institutions, Management Systems, Maritime Education, Maritime Training Programmes"
LIBRA-PLAST AS,Norway,3.315,http://www.libra.no ,,"Accommodation Systems/Materials, Deck Equipment, Engineroom Equipment, Safety Equipment, Services"
LIEBHERR-MCCTEC ROSTOCK GMBH,Germany,3.531,,,Cargo Handling
LIGHT STRUCTURES AS,Norway,3.315,http://www.lightstructures.no ,,"Deck Equipment, Electrical, Electronics, Engineroom Equipment, Monitoring Equipment"
LINDIRIDIS EMM LTD,Greece,2.322,http://www.lindiridis.gr,,"Automation, Compressor Suppliers, Pumps, Valves, Sewage Treatment"
LINXCOM UK LTD,United Kingdom,1.439,,,"Cables, Electrical, Electronics"
LISNAVE ESTALEIROS NAVAIS SA,Portugal,2.119,http://www.lisnave.pt,,"Shipbuilding, Repair Yards"
LIWEI GROUP - OET OFFSHORE EQUIPMENT TECHNOLOGY,China,1.314/C,http://www.ntlw.com,,"Anchors, Chains, Deck Equipment"
LK MARINE FLOW CONTROL (LK VALVES AB),Sweden,3.315,http://www.lkvalves.com,,"Cargo Handling, Hydraulics, Pipes, Fittings, Pumps, Valves, Ship Spare Parts"
LLOYD'S LIST,United Kingdom,2.203,https://maritimeintelligence.informa.com,,"Advertising, Marketing, Public Relations, Consultancy Services, Publications, Media, Shipping Companies, Training Services, Vessel Registration"
LLOYD'S LIST INTELLIGENCE,United Kingdom,2.203,,,"Consultancy Services, Publications, Media, Ship Suppliers"
LLOYD'S MARITIME ACADEMY,United Kingdom,2.318,http://www.lloydsmaritimeacademy.com/,,"Maritime Education, Maritime Training Programmes"
LLOYD'S REGISTER,United Kingdom,"4.201,LWS4",http://www.lr.org,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=3103,"Ballast Water Management, Classification Societies, Fuel Analysis Services, Maritime Training Programmes, Offshore Services"
LNG INDUSTRY,United Kingdom,2.000,,,"Publications, Media"
LOIPART,Sweden,2.417,,,Accommodation Systems/Materials
LOKIT POLYMER PTE LTD,Singapore,1.233,http://www.lokit.com,,"Pumps, Valves, Seals & Packings, Ship Spare Parts"
LONG KONG MARINE ENGINEERING CO LTD,China,4.309,,,"In/Under-Water Repairs & Services, Repair Services, Safety Equipment, Services"
LONGSHAN SHIPYARD,China,"1.521,4.213",,,"Shipbuilding, Repair Yards"
LONZA - BLUESENSE,France,3.267,http://www.bluesense-water.com,,"Airconditioning, Ventilation, Chemicals, Desalination Equipment, Environmental Technologies, Filtration, Monitoring Equipment, Other, Retrofitting, Sanitation Equipment, Sewage Treatment, Water Saving & Treatment Systems"
LOPOLIGHT,Denmark,1.552,,,"Electrical, Electronics, Navigation Aids"
L'ORANGE GMBH,Germany,1.214,,,"Pumps, Valves, Ship Spare Parts"
LPC SA,Greece,2.307,http://www.lpc.gr  & www.cyclon-lpc.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=43962,Petroleum Products
LUBRICATION ENGINEERS SOUTH EASTERN EUROPE,Greece,2.425/1,http://www.LE-Greece.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=61459,"Bunkers, Lubricants, Corrosion Protection, Fuel Analysis Services, Mooring Equipment & Ropes, Petroleum Products, Pollution Control, Tank Cleaning Systems"
LUBRICHEMO HELLAS CO,Greece,2.435,,,"Bunkers, Lubricants, Chemicals, Consultancy Services"
LUCAS,Greece,1.419,,,"Electrical, Electronics"
LUFTHANSA CARGO,Germany,1.511,https://lufthansa-cargo.com/,,"Airlines, Aviation, Logistics"
LUKOIL MARINE LUBRICANTS,United Arab Emirates,4.104,http://www.lukoilmarine.com,,"Bunkers, Lubricants, Ship Suppliers"
LUOYANG SHIP MATERIAL RESEARCH INSTITUTE,China,3.560,http://www.sunruigroup.com,,"Pipes, Fittings"
LUPI SRL,Italy,1.115,,,Ship Spare Parts
LUXEMBOURG CHAMBER OF COMMERCE,Luxembourg,2.329/B,http://www.cc.lu,,"Advertising, Marketing, Public Relations"
LUXEMBOURG MARITIME ADMINISTRATION,Luxembourg,2.329/C,http://www.maritime.lu,,"Government Organisations / Institutions, Vessel Registration"
LUXEMBOURG MARITIME CLUSTER,Luxembourg,2.329/G,http://www.cluster-maritime.lu,,"Associations, Organisations"
LUXEMBOURG - MINISTRY OF THE ECONOMY,Luxembourg,"2.329,2.329/A",http://www.tradeandinvest.lu,,"Associations, Organisations"
MACC ENGINEERING,South Africa,2.419,,,"Automation, Electrical, Electronics, Repair Services"
MACGREGOR,Finland,3.123,https://www.macgregor.com/,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=3275,"Bearings, Cables, Cargo Handling, Cargo Systems, Clean Energy Solutions & Equipment, Design & Innovation, Hydraulics, Mooring Equipment & Ropes, Pipes, Fittings, Pumps, Valves, Repair Services, Services Providers, Ship Spare Parts, Steering Gear, Equipment, Training Services"
MACOIL INTERNATIONAL SA,Greece,3.547,http://www.macoilint.com ,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=61095,"Bunkers, Lubricants"
MACOSNAR CORPORATION,Panama,2.114,http://www.macosnar.com,,Consultancy Services
M.A.C. SYSTEM SOLUTIONS,Germany,3.111,,,"Computer Applications, Big Data, IT Services, Energy Efficiency, Monitoring Equipment"
MAEM SP. Z O.O.,Poland,2.523,http://www.maem.com,,"Filtration, Pumps, Valves, Separators, Ship Spare Parts"
MAERSK FLUID TECHNOLOGY,Denmark,3.111,,,Engineroom Equipment
MAJAR-MATZARIDIS BROS SA,Greece,3.264,http://www.majar.gr,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=63170,"Computer Applications, Big Data, IT Services, Electrical, Electronics, Monitoring Equipment"
MAJNABBE MOTOR  DIESEL SERVICE AB,Sweden,3.215,,,Ship Spare Parts
MAKITA CORPORATION,Japan,"4.109,4.108",,,"Engineroom Equipment, Propulsion Systems"
MALAYSIA MARINE & HEAVY ENGINEERING (MMHE),Malaysia,4.213,,,"Shipbuilding, Repair Yards"
"MANABE ZOKI CO., LTD.",Japan,4.101/K,http://www.manabezoki.co.jp,,Deck Equipment
MAN DIESEL & TURBO,Germany,2.101,http://www.mandieselturbo.com,,"Propellers, Propulsion Systems"
MANGRINOX S.A.,Greece,2.320,http://www.mangrinox.gr,,"Automation, Bearings, Cargo Systems, Electrical, Electronics, Energy Efficiency, Generating Sets, Monitoring Equipment, Other"
MAN HELLAS TRUCK & BUS SA,Greece,2.155,http://www.man-hellas.gr,,"Propulsion Systems, Repair Services"
MANN HUMMEL U.K.,United Kingdom,1.526,,,Filtration
MANSEI INC.,Japan,3.116,,,"Safety Equipment, Services"
MANTANCO S.A.,Greece,3.425,http://www.mantanovitch.gr,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=63613,Automation
MARASI NEWS,United Arab Emirates,2.000,,,"Publications, Media"
MARCO PUMPS SA (MARCOMICHALIS P. & SON SA),Greece,3.149,http://www.marcopumps.gr,,"Firefighting Equipment, Pumps, Valves"
MAREL ELECTRONICS SA,Greece,2.104,http://www.marel.gr,,"Communication Aids, Electrical, Electronics, Internet Services, Maritime Education, Navigation Aids, Safety Equipment, Services, Satellite Communications"
MARE MARINE ENTERPRISES LTD,Greece,3.132,http://maremarine.gr,,"Airconditioning, Ventilation, Anchors, Chains, Automation, Bearings, Boilers, Compressor Suppliers, Deck Equipment, Electrical, Electronics, Engineroom Equipment, Monitoring Equipment, Pumps, Valves, Repair Services, Seals & Packings, Separators, Ship Spare Parts, Steering Gear, Equipment"
MARE SUPPLY & SERVICES,Turkey,1.453,http://www.maresupply.com,,"Clean Energy Solutions & Equipment, Repair Services, Ship Suppliers, Tank Cleaning Systems"
MAREVANTON HELLAS LTD,Greece,1.214,http://www.marevanton.com,,"Engineroom Equipment, Propulsion Systems, Pumps, Valves, Ship Spare Parts"
MARIAPPS MARINE SOLUTIONS,Singapore,1.315,"http://www,mariapps.com",,"Computer Applications, Big Data, IT Services"
MARICHEM  MARIGASES WORLDWIDE SERVICES,Greece,"1.301,WS6,WS7",http://www.marichem-marigases.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=3184,"Chemicals, Coatings, Paints, Compressor Suppliers, Corrosion Protection, Deck Equipment, Firefighting Equipment, Gases, Refrigerants, Pollution Control, Pumps, Valves, Refrigeration Systems, Safety Equipment, Services"
MARILOT ELECTRONIC SYSTEMS LTD,Greece,1.412,http://www.marilot.gr,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=61361,"Automation, Electrical, Electronics, Energy Efficiency, Safety Equipment, Services"
MARINEDEAL NEWS,Turkey,2.000,,,"Publications, Media"
MARINE LITE PRINTING SA,Greece,2.321,,,"Safety Equipment, Services"
MARINE LNG NETWORK,Greece,4.227,,,Environmental Technologies
MARINE LOG,USA,2.000,,,"Publications, Media"
MARINE MAINTENANCE TECHNOLOGY INTERNATIONAL,United Kingdom,2.000,,,"Publications, Media"
MARINE & OFFSHORE TECHNOLOGY,United Kingdom,2.000,,,"Publications, Media"
MARINE OUTFITTING PVT LTD,India,3.307,,,Repair Services
MARINE PERFORMANCE TUNING (EX KARATHANOS),Greece,2.509,,,"Engineroom Equipment, Pumps, Valves, Ship Suppliers"
MARINE PLUS SA,Greece,3.307,http://www.marineplus.gr,,"Ballast Water Management, In/Under-Water Repairs & Services, Safety Equipment, Services, Shipbrokers, Shipbuilding, Repair Yards, Ship Spare Parts, Ship Suppliers"
MARINES,"Korea, Republic of",3.161,http://www.emarines.co.kr,,Communication Aids
MARINE SERVICES AND SHIPPING LTD (MSS LTD),United Kingdom,4.309,,,"Automation, Boilers, Consultancy Services, Design & Innovation, Repair Services, Services Providers"
MARINE SPARES LTD,Greece,1.526,http://www.marine-spares.gr,,"Bearings, Engineroom Equipment, Filtration, Generating Sets, Repair Services, Ship Spare Parts"
MARINE SUPPORT,Greece,3.126,http://www.marinesupport.com.gr,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=58701,"Airconditioning, Ventilation, Bearings, Compressor Suppliers, Gases, Refrigerants, Pumps, Valves, Refrigeration Systems, Repair Services, Retrofitting, Separators"
MARINE TOURS SA,Greece,1.313,http://www.marinetours.gr,,Travel Services
MARINETRAFFIC,Greece,4.118,http://www.marinetraffic.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=62927,"Computer Applications, Big Data, IT Services, Other, Services Providers"
MARINFLOC AB,Sweden,4.203,,,"Environmental Technologies, Filtration, Maritime Training Programmes, Monitoring Equipment, Pollution Control, Separators, Sewage Treatment"
MARINOCONSULT,Bulgaria,4.222,,,"Consultancy Services, Design & Innovation"
MARIOFF CORPORATION OY,Finland,4.211,http://www.marioff.com,,"Design & Innovation, Electrical, Electronics, Firefighting Equipment, Safety Equipment, Services"
MARISO CORPORATION,China,1.345,http://www.mariso.com,,"Ballast Water Management, Deck Equipment, Engineroom Equipment, Environmental Technologies, Repair Services, Ship Spare Parts, Ship Suppliers"
MARITA HELLAS SA,Greece,"3.218,1.443",http://www.maritahellas.gr,,"Safety Equipment, Services, Security, Ship & Ports, Ship Suppliers"
MARITIME CEO,Singapore,2.000,,,"Publications, Media"
"MARITIME DANMARK APS, - DANISH MARITIME FAIR",Denmark,3.411/E,,,
MARITIME ECONOMIES - I.P. LIBERTYPRESS M.I.K.E.,Greece,3.167,http://www.libertypress.gr,,"Publications, Media"
MARITIME MALTA (TRANSPORT MALTA),Malta,2.108,http://www.transport.gov.mt/ship-registration,,"Ports, Port Authorities, Vessel Registration"
MARITIME MARKET,Russia,2.000,,,"Publications, Media"
MARITIME PRESENTATION LIMITED SHIPYARD,Trinidad and Tobago,1.317,,,"Repair Services, Shipbuilding, Repair Yards"
MARITIME REPORTER & ENGINEERING NEWS,USA,2.536,http://www.marinelink.com,,"Advertising, Marketing, Public Relations, Publications, Media"
MARITIME SERVICES TRAINING INSTITUTE,Hong Kong SAR,1.401/E,http://www.msti.edu.hk,,"Maritime Education, Maritime Training Programmes"
MARITIME SHIP SUPPLY,Denmark,3.411/F,https://mssupply.dk/,,Ship Suppliers
MARITIME TRANSPORT AGENCY OF GEORGIA,Georgia,1.422,,,
MARLEC  ENGINEERING CO LTD,United Kingdom,3.342,,,Other
MARLINK,France,1.305,http://www.marlink.com,,Satellite Communications
MARLINK,Greece,1.305,,,"Communication Aids, Computer Applications, Big Data, IT Services, Entertainment Systems, Internet Services, Satellite Communications"
MARLOW NAVIGATION,Cyprus,2.111/O,http://marlow-navigation.com,,"Crewing Services, Shipmanagement, Training Services"
MARPOINT,Greece,1.543,http://www.marpoint.gr,,"Computer Applications, Big Data, IT Services, Electrical, Electronics, Satellite Communications, Services Providers"
"MARSEN CO, LTD","Korea, Republic of","3.403/7,3.116",http://www.marsen.co.kr,,"Automation, Cargo Systems, Container Services, Electrical, Electronics, Environmental Technologies, Monitoring Equipment"
MARSHAL SYSTEMS PTE LTD,Singapore,4.222,,,"Automation, Cyber Protection Systems, Electrical, Electronics, Energy Efficiency, Entertainment Systems, Internet Services, Management Systems, Monitoring Equipment, Satellite Communications"
MARSHIP ENGINEERING,"Netherlands, The",2.457,,,"Ballast Water Management, Clean Energy Solutions & Equipment, Desalination Equipment, Engineroom Equipment, Environmental Technologies, Offshore Services, Osmosis Systems, Pollution Control, Pumps, Valves, Separators, Ship Spare Parts, Water Saving & Treatment Systems"
MARS SHIPYARDS & OFFSHORE,Poland,1.337/C,http://www.marsso.pl,,"Offshore Services, Offshore Systems & Applications, Shipbuilding, Repair Yards"
MARTECHNIC GMBH,Germany,2.321,,,Engineroom Equipment
MARUBENI CORPORATION,Japan,4.202/M,http://www.marubeni.com,,Other
MASCOAT PRODUCTS,USA,3.164/2,,,"Coatings, Paints"
MASSON MARINE,France,1.505,,,Propulsion Systems
MASTECH,China,1.419,,,"Electrical, Electronics"
MASTER DIVERS (PVT) LTD,Sri Lanka,2.419,,,"In/Under-Water Repairs & Services, Propellers, Underwater Technology"
MASTER SYSTEMS LLC,United Arab Emirates,1.229,http://www.mastersystems.org,,"Electrical, Electronics, Navigation Aids, Satellite Communications, Services Providers"
MAST MARITIME SERVICES SA,Greece,4.134,http://www.mastms.gr,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=59128,"Ballast Water Management, Consultancy Services, In/Under-Water Repairs & Services, Repair Services, Shipbuilding, Repair Yards, Ship Spare Parts, Underwater Technology"
MATERIALS INDUSTRIAL RESEARCH & TECHNOLOGY DEVELOPMENT CENTRE - MIRTEC S.A.,Greece,2.561,,,"Government Organisations / Institutions, Management Systems, Services Providers"
MATRA MOTOR YENILEME SANAYI AS,Turkey,3.260,http://www.matramotor.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=63064,"Bearings, Repair Services"
MAX EUROPE BV,"Netherlands, The",1.439,,,"Cables, Electrical, Electronics"
MAYFAIR TRADE LTD,United Kingdom,3.547,http://www.mayfairtrade.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=63438,Shipbrokers
MCGILL,USA,3.215,,,Bearings
MCMURDO LTD,United Kingdom,"2.104,1.220",,,"Electrical, Electronics, Navigation Aids, Safety Equipment, Services"
MECKLENBURGER METTAGUSS GMBH - MMG,Germany,3.258,,,"Propellers, Repair Services"
MEC SHIP REPAIRS,Panama,1.317,,,"Repair Services, Shipbuilding, Repair Yards"
MEC SHIPYARDS,Panama,3.307,,,"Shipbuilding, Repair Yards"
MEDI CHEST PANAMA INC,Panama,2.114,,,Medical Services
MEDITERRANEAN COLLEGE,Greece,2.466,http://www.medcollege.edu.gr,,"Maritime Education, Maritime Training Programmes, Other"
MEDITERRANEAN MARITIME ACADEMY,Cyprus,3.351,,,Maritime Education
MEDOUSA MARITIME LTD. (GULF OIL MARINE HELLAS),Greece,4.131,,,Other
MED SOLUTIONS INTERNATIONAL,USA,2.259,http://www.MedSolutionsInt.com,,"Insurance, P&I, Medical Services"
MEGADIVE LTD,Greece,4.126,,,"In/Under-Water Repairs & Services, Offshore Services, Pollution Control"
MEGATUGS/ MEGALOHARI HELLENIC TUGBOATS,Greece,4.126,http://www.megatugs.com,,"In/Under-Water Repairs & Services, Offshore Services, Pollution Control, Towage, Salvage"
MEP DECK SOLUTIONS PTE LTD,Singapore,2.401/D,http://www.mepsystems.com.sg,,"Anchors, Chains, Ballast Water Management, Deck Equipment, Mooring Equipment & Ropes, Other"
MERCANTILE SHIPSTORES SA,Panama,2.135,,,"Shipchandlers, Ship Suppliers"
MERCATOR MEDIA LTD (THE MOTORSHIP),United Kingdom,"1.324,2.000",http://www.motorship.com,,"Advertising, Marketing, Public Relations, Publications, Media"
METALOCK ENGINEERING (QINGDAO) LTD,China,2.237/D,http://www.metalock.cn,,"Offshore Services, Ship Spare Parts"
METALSHIPS & DOCKS,Spain,2.417,,,"Shipbuilding, Repair Yards"
METEC CATHODIC PROTECTION,United Kingdom,1.221/E,http://www.metecgroup.com,,"Coatings, Paints, Corrosion Protection, Ship Spare Parts"
METIS CYBERSPACE TECHNOLOGY SA,Greece,1.116,http://www.metis.tech,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=62736,"Automation, Energy Efficiency, Management Systems, Monitoring Equipment, Shipmanagement"
METLOCKAST HELLAS LTD,Greece,2.541,http://www.metlockast.gr,,"Bearings, Compressor Suppliers, Deck Equipment, Engineroom Equipment, Generating Sets, Hydraulics, Pumps, Valves, Repair Services, Services Providers, Ship Spare Parts, Steering Gear, Equipment"
METOS OY,Finland,3.111,,,Accommodation Systems/Materials
METROPOLITAN COLLEGE,Greece,1.239,http://www.mitropolitiko.edu.gr,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=61698,Maritime Education
M. HERVATOPOULOS,Greece,1.328,,,"Boilers, Hydraulics, Metals & Mining Industries, Pipes, Fittings, Refrigeration Systems, Ship Spare Parts"
MIBA GLEITLAGER GMBH,Austria,1.526,,,Bearings
MICE & TOURISM AROUND THE WORLD E-MAGAZINE,United Kingdom,2.000,,,"Publications, Media"
MIC FIL,Germany,2.348,,,Filtration
MICHELL INSTRUMENTS,United Kingdom,2.560,,,Automation
MICROSENSOR,China,1.419,,,"Electrical, Electronics"
MIDIA SHIPYARD,Romania,1.521,,,"Shipbuilding, Repair Yards"
MIE CO. LTD.,Greece,2.321,,,Ship Suppliers
"MI LNG COMPANY, LIMITED",Japan,4.202/D,,,"Shipbuilding, Repair Yards"
"MINAMINIPPON SHIPBUILDING CO., LTD.",Japan,4.202/A,,,"Shipbuilding, Repair Yards"
MINIMAX GMBH & CO. KG,Germany,3.111,,,Firefighting Equipment
"MINISTRY OF DIGITAL POLICY, TELECOMMUNICATIONS AND MEDIA",Greece,1.451,http://www.mindigital.gr,,Government Organisations / Institutions
MINISTRY OF MARITIME AFFAIRS AND INSULAR POLICY,Greece,M.M.A.I.P. - POSIDONIA PLAZA,,,
MINISTRY OF MARITIME ECONOMY AND INLAND NAVIGATION,Poland,1.337/A,http://gov.pl/gospodarkamorska,,Government Organisations / Institutions
MINISTRY OF TRADE AND INDUSTRIES OF PANAMA,Panama,2.114,http://proinvex.mici.gob.pa,,Government Organisations / Institutions
MISR PETROLEUM CO,Egypt,2.120,,,"Bunkers, Lubricants, Petroleum Products"
MITSUBISHI,Greece,1.419,,,Automation
MITSUBISHI CORPORATION,Japan,4.202/N,http://www.mitsubishicorp.com,,Other
"MITSUBISHI HEAVY INDUSTRIES, LTD (MHI)","Netherlands, The",3.132,,,"Automation, Engineroom Equipment"
"MITSUBISHI HEAVY INDUSTRIES MARINE MACHINERY & EQUIPMENT CO., LTD.",Japan,4.101/G,http://www.mhi-mme.com,,"Boilers, Deck Equipment, Energy Efficiency, Environmental Technologies, Mooring Equipment & Ropes, Other, Propellers, Propulsion Systems, Stabilisers, Steering Gear, Equipment"
MITSUBISHI HEAVY INDUSTRIES MARINE STRUCTURE,Japan,4.202/D,,,"Shipbuilding, Repair Yards"
