Exhibitor,Country,Stand Number,Website,Logo,Products
APEX STOWAWAY DETECTION CC,South Africa,3.354,http://www.apexstowaway.co.za,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=63070,"Security, Ship & Ports"
APHENTRICA MARINE INSURANCE BROKERS LTD,Cyprus,2.111/D,http://www.aphentrica.com,,"Insurance, P&I"
APT INFORMATION SYSTEMS,Greece,"4.109,4.108",,,"Computer Applications, Big Data, IT Services, Crewing Services, Insurance, P&I, Legal Services, Logistics, Management Systems"
AQUAMETRO KOREA LTD,"Korea, Republic of",3.132,,,Other
AQUAMETRO OIL & MARINE AG,Switzerland,2.449,http://www.aquametro-oil-marine.com,,"Energy Efficiency, Engineroom Equipment, Fuel Analysis Services, Monitoring Equipment"
"ARAB ACADEMY FOR SCIENCE, TECHNOLOGY & MARITIME TRANSPORT",Egypt,2.539,http://www.aast.edu,,"Associations, Organisations, Maritime Education, Maritime Training Programmes"
ARCO LTD,Greece,"1.443,3.325",,,"Repair Services, Shipbuilding, Repair Yards"
ARGO SA GREEK OIL COMPANY,Greece,1.106,http://www.argo-oil.gr,,"Bunkers, Lubricants, Petroleum Products"
ARGO SYSTEMS,Greece,2.253,http://www.argosystems.gr,,"Computer Applications, Big Data, IT Services"
ARGO TRAVEL GROUP,Greece,1.135,http://www.argotravel.com,,"Airlines, Aviation, Travel Services"
ARK MARINE SERVICE INC,Japan,2.321,,,Ship Spare Parts
ARNESON,Italy,3.116,,,Propulsion Systems
ASCENZ,Singapore,3.525,,,"LNG Technology, Monitoring Equipment, Navigation Aids"
ASCENZ SOLUTIONS PTE LTD,Singapore,"2.401/J,2.509",http://www.ascenz.com,,"Computer Applications, Big Data, IT Services, Energy Efficiency, Management Systems, Monitoring Equipment, Offshore Systems & Applications"
"ASIMCO SHUANGHUAN PISTON RING(YIZHENG)CO.,LTD",China,2.303/D,http://www.cypr.com.cn,,Engineroom Equipment
A.SKOURA SA,Greece,3.551,https://www.hydraulicsgreece.gr/,,"Design & Innovation, Filtration, Hydraulics, Marine Fenders & Hoses, Pipes, Fittings, Pumps, Valves, Repair Services, Ship Spare Parts"
ASL BATAM,Indonesia,1.317,,,"Repair Services, Shipbuilding, Repair Yards"
ASL SHIPYARD PTE LTD.,Indonesia,1.317,,,"Repair Services, Shipbuilding, Repair Yards"
ASPIDA,Cyprus,4.317,http://aspida.org,,"Computer Applications, Big Data, IT Services, Cyber Protection Systems, Design & Innovation, Maritime Training Programmes, Safety Equipment, Services, Security, Ship & Ports"
